name,nFunctions,nCoroutines,nChannels,nClasses,should,error,actual,detected,loopy
test552,3,5,4,1,true,NoError,true,true,false
test553,4,4,4,0,false,NoError,false,true,true
test554,5,2,1,0,true,NoError,false,true,false
test555,2,1,5,0,true,NoError,true,true,false
test556,2,5,4,1,true,NoError,true,true,false
test557,5,3,5,1,true,NoError,true,true,false
test558,5,3,4,1,true,NoError,true,true,false
test559,1,3,5,2,true,NoError,true,true,false
test560,5,1,1,1,false,NoError,true,false,true
test561,5,4,3,1,false,NoError,true,true,true
test562,1,3,2,3,false,NoError,false,true,true
test563,4,4,1,2,true,NoError,false,false,false
test564,3,1,4,1,true,NoError,true,true,false
test565,2,2,1,3,true,NoError,false,false,false
test566,1,1,2,2,true,NoError,false,false,false
test567,4,1,5,3,true,NoError,true,true,true
test568,2,2,2,3,false,NoError,false,false,false
test569,4,4,4,0,true,NoError,true,true,false
test570,3,3,2,1,true,NoError,true,true,false
test571,2,3,5,3,false,KotlinCompileError,false,false,true
test572,5,2,5,3,false,KotlinCompileError,false,false,true
test573,2,5,4,1,false,NoError,false,true,true
test574,3,5,2,2,true,NoError,true,true,true
test575,2,2,1,2,false,NoError,false,false,false
test576,2,2,1,0,true,NoError,true,false,false
test577,4,3,5,2,true,NoError,true,true,true
test578,3,1,2,0,false,NoError,false,true,true
test579,4,5,4,1,true,KotlinCompileError,false,false,false
test580,5,4,2,3,false,NoError,false,true,true
test581,4,5,2,2,true,NoError,true,false,true
test582,4,5,4,0,true,GraphError,true,false,false
test583,1,2,1,1,true,NoError,false,false,false
test584,5,3,1,1,false,NoError,false,false,true
test585,4,3,1,1,true,NoError,true,true,false
test586,5,2,5,1,true,NoError,true,true,false
test587,2,1,2,2,false,NoError,false,true,true
test588,2,3,2,2,false,NoError,false,true,true
test589,2,2,5,3,true,NoError,true,true,false
test590,4,3,1,2,false,NoError,false,false,true
test591,5,2,5,0,false,NoError,true,true,true
test592,5,4,5,3,false,NoError,false,false,true
test593,5,5,1,2,true,NoError,true,true,false
test594,1,4,1,2,false,KotlinCompileError,false,false,true
test595,4,4,3,0,true,NoError,true,true,false
test596,5,4,4,1,true,NoError,true,true,false
test597,4,2,3,0,true,NoError,true,true,false
test598,4,3,1,2,true,NoError,true,true,true
test599,2,2,5,1,false,NoError,false,false,false
test600,1,4,4,0,false,NoError,false,true,true
test601,4,4,1,1,false,NoError,true,true,false
test602,3,2,2,0,false,NoError,false,true,true
test603,1,1,5,2,true,NoError,true,true,false
test604,1,4,1,1,false,KotlinRuntimeError,false,false,true
test605,1,5,4,2,false,KotlinCompileError,false,false,true
test606,3,3,3,2,false,NoError,false,false,true
test607,3,2,1,3,true,NoError,true,true,true
test608,4,5,1,2,true,NoError,true,true,true
