name,nFunctions,nCoroutines,nChannels,nClasses,should,error,actual,detected
test377,6,5,5,2,false,KotlinCompileError,false,false
test378,6,6,8,1,true,NoError,true,true
test379,5,8,4,5,true,KotlinCompileError,false,false
test380,5,1,2,3,false,KotlinCompileError,false,false
test381,2,5,3,3,false,InvalidModelError,false,false
test382,3,5,6,5,false,KotlinCompileError,false,false
test383,6,6,6,4,true,KotlinRuntimeError,false,false
test384,8,4,5,3,true,NoError,true,true
test385,7,6,6,1,false,NoError,true,true
test386,5,1,3,1,true,NoError,true,true
test387,4,1,3,1,false,UnknownResultError,true,false
test388,3,2,3,0,true,NoError,true,true
test389,5,6,5,1,true,NoError,false,true
test390,3,7,6,2,false,KotlinCompileError,false,false
test391,5,4,2,3,true,NoError,false,true
test392,7,4,1,2,true,GraphError,false,false
test393,5,1,3,2,false,InvalidModelError,false,false
test394,6,8,7,3,false,KotlinCompileError,false,false
test395,6,5,6,4,false,KotlinRuntimeError,false,false
test396,4,2,2,1,true,KotlinRuntimeError,false,false
test397,7,2,3,1,true,InvalidModelError,true,false
test398,8,3,1,2,false,InvalidModelError,false,false
test399,7,4,5,2,false,KotlinRuntimeError,false,false
test400,7,6,3,0,true,NoError,true,true
test401,7,7,3,0,false,NoError,false,true
test402,4,3,7,1,false,InvalidModelError,true,false
test403,2,3,8,1,false,KotlinCompileError,false,false
test404,6,1,2,2,true,KotlinCompileError,false,false
test405,8,4,1,1,false,NoError,false,true
test406,6,1,2,1,true,NoError,true,true
test407,3,2,5,2,true,NoError,true,true
test408,5,3,6,3,false,InvalidModelError,false,false
test409,2,6,5,0,false,KotlinCompileError,false,false
test410,4,7,4,5,true,KotlinCompileError,false,false
test411,5,6,5,5,false,NoError,true,true
test412,7,2,5,5,false,NoError,true,true
test412,7,2,5,5,false,NoError,true,true
test412,7,2,5,5,false,InvalidModelError,true,false
test413,8,4,1,1,true,NoError,true,true
test414,3,3,5,3,false,NoError,false,true
test415,2,4,4,0,true,KotlinRuntimeError,false,false
test416,2,4,5,4,true,NoError,true,true
test416,2,4,5,4,true,NoError,true,true
test416,2,4,5,4,true,NoError,true,false
test417,3,5,1,5,false,KotlinCompileError,false,false
test418,6,4,3,0,false,InvalidModelError,true,false
test419,5,4,4,1,false,NoError,true,true
test420,5,1,7,5,false,NoError,true,true
test421,3,8,8,3,false,NoError,true,true
test422,3,8,7,2,true,NoError,true,true
test423,8,3,4,0,false,GraphError,true,false
test424,6,1,6,3,true,NoError,true,true
test425,3,3,7,1,true,KotlinRuntimeError,false,false
test426,3,2,6,3,false,NoError,false,false
test426,3,2,6,3,false,InvalidModelError,false,false
test427,4,1,5,5,true,KotlinRuntimeError,false,false
test428,2,1,3,2,true,NoError,false,true
test429,4,4,5,4,false,KotlinRuntimeError,false,false
test430,6,6,6,5,true,KotlinRuntimeError,false,false
test431,5,1,2,0,false,GraphError,false,false
test432,3,1,8,3,false,UnknownResultError,true,false
test433,3,6,1,0,false,KotlinRuntimeError,false,false
test434,4,8,7,1,false,KotlinRuntimeError,false,false
test435,4,2,1,5,false,NoError,false,false
test436,5,8,3,3,false,NoError,true,false
test436,5,8,3,3,false,InvalidModelError,true,false
test437,8,3,1,3,true,NoError,false,true
test438,4,6,3,1,false,KotlinRuntimeError,false,false
test439,4,3,1,1,false,NoError,false,true
test440,5,8,4,1,true,NoError,true,true
